user_id,pred_date
34500,2017-05-09
56298,2017-05-09
6913,2017-05-08
75125,2017-05-09
37362,2017-05-09
53266,2017-05-09
12189,2017-05-09
41640,2017-05-10
60261,2017-05-09
65049,2017-05-09
39387,2017-05-09
32674,2017-05-08
89655,2017-05-09
64624,2017-05-09
15621,2017-05-09
79667,2017-05-12
71115,2017-05-09
83204,2017-05-11
72171,2017-05-09
49779,2017-05-10
63239,2017-05-09
21874,2017-05-09
13543,2017-05-11
8402,2017-05-09
4792,2017-05-10
8329,2017-05-10
49679,2017-05-10
6209,2017-05-09
5156,2017-05-10
7537,2017-05-12
75998,2017-05-09
65544,2017-05-09
41960,2017-05-10
74880,2017-05-10
81412,2017-05-09
93448,2017-05-09
20747,2017-05-10
7310,2017-05-09
66982,2017-05-09
44868,2017-05-10
6014,2017-05-09
3329,2017-05-10
49361,2017-05-10
18535,2017-05-10
45371,2017-05-12
30494,2017-05-09
76812,2017-05-09
39073,2017-05-10
33222,2017-05-08
38694,2017-05-09
26887,2017-05-09
5629,2017-05-12
18657,2017-05-10
37936,2017-05-09
47663,2017-05-09
69550,2017-05-10
63248,2017-05-08
61319,2017-05-10
55066,2017-05-10
76904,2017-05-12
97118,2017-05-10
66555,2017-05-10
84260,2017-05-08
28451,2017-05-08
13940,2017-05-11
41650,2017-05-10
81737,2017-05-11
18325,2017-05-11
60275,2017-05-10
84290,2017-05-10
3464,2017-05-13
23337,2017-05-09
11558,2017-05-12
64573,2017-05-09
61339,2017-05-10
50888,2017-05-09
93924,2017-05-08
86691,2017-05-10
59382,2017-05-10
26699,2017-05-10
12567,2017-05-11
26529,2017-05-09
44433,2017-05-10
6592,2017-05-12
20661,2017-05-13
84194,2017-05-11
44673,2017-05-10
81439,2017-05-09
97922,2017-05-10
39226,2017-05-10
511,2017-05-10
4213,2017-05-11
73114,2017-05-10
40993,2017-05-10
62857,2017-05-10
53693,2017-05-10
34116,2017-05-10
57346,2017-05-10
23218,2017-05-10
26518,2017-05-14
23543,2017-05-10
31522,2017-05-10
15108,2017-05-12
19012,2017-05-10
98737,2017-05-10
32985,2017-05-14
9953,2017-05-09
13457,2017-05-10
25156,2017-05-10
68669,2017-05-08
52969,2017-05-10
60248,2017-05-11
90992,2017-05-10
21370,2017-05-08
18663,2017-05-09
80514,2017-05-09
84946,2017-05-09
36801,2017-05-10
78736,2017-05-10
86243,2017-05-09
66110,2017-05-10
581,2017-05-10
81918,2017-05-10
6566,2017-05-09
44189,2017-05-11
